ID,State,City,Year,Month,Carbon_Emissions(MT)
81,Alaska,Anchorage,2021,9,7480
82,Alaska,Anchorage,2021,10,4812
83,Alaska,Anchorage,2021,11,6898
84,Alaska,Anchorage,2021,12,2154
85,Alaska,Anchorage,2022,1,5873
86,Alaska,Anchorage,2022,2,4990
87,Alaska,Anchorage,2022,3,4870
88,Alaska,Anchorage,2022,4,2858
89,Alaska,Anchorage,2022,5,9601
90,Alaska,Anchorage,2022,6,8048
91,Alaska,Anchorage,2022,7,7820
92,Alaska,Anchorage,2022,8,1076
93,Alaska,Anchorage,2022,9,4667
94,Alaska,Anchorage,2022,10,7583
95,Alaska,Anchorage,2022,11,3740
96,Alaska,Anchorage,2022,12,2331
97,Alaska,Anchorage,2023,1,7172
98,Alaska,Anchorage,2023,2,4846
99,Alaska,Anchorage,2023,3,6130
100,Alaska,Anchorage,2023,4,7827
101,Alaska,Anchorage,2023,5,5687
102,Alaska,Anchorage,2023,6,2940
103,Alaska,Anchorage,2023,7,6510
104,Alaska,Anchorage,2023,8,2793
105,Alaska,Anchorage,2023,9,6450
106,Alaska,Anchorage,2023,10,1670
107,Alaska,Anchorage,2023,11,4404
108,Alaska,Anchorage,2023,12,5781
109,Alaska,Juneau,2021,1,3374
110,Alaska,Juneau,2021,2,3456
111,Alaska,Juneau,2021,3,4288
112,Alaska,Juneau,2021,4,2203
113,Alaska,Juneau,2021,5,1936
114,Alaska,Juneau,2021,6,2230
115,Alaska,Juneau,2021,7,8082
116,Alaska,Juneau,2021,8,2493
117,Alaska,Juneau,2021,9,2676
118,Alaska,Juneau,2021,10,6597
119,Alaska,Juneau,2021,11,1560
120,Alaska,Juneau,2021,12,5304
121,Alaska,Juneau,2022,1,5390
122,Alaska,Juneau,2022,2,9406
123,Alaska,Juneau,2022,3,3698
124,Alaska,Juneau,2022,4,9103
125,Alaska,Juneau,2022,5,5249
126,Alaska,Juneau,2022,6,5244
127,Alaska,Juneau,2022,7,8120
128,Alaska,Juneau,2022,8,1184
129,Alaska,Juneau,2022,9,8088
130,Alaska,Juneau,2022,10,1017
131,Alaska,Juneau,2022,11,6026
132,Alaska,Juneau,2022,12,3964
133,Alaska,Juneau,2023,1,9867
134,Alaska,Juneau,2023,2,1760
135,Alaska,Juneau,2023,3,5347
136,Alaska,Juneau,2023,4,7337
137,Alaska,Juneau,2023,5,7269
138,Alaska,Juneau,2023,6,8358
139,Alaska,Juneau,2023,7,8394
140,Alaska,Juneau,2023,8,8628
141,Alaska,Juneau,2023,9,5639
142,Alaska,Juneau,2023,10,1864
143,Alaska,Juneau,2023,11,8212
144,Alaska,Juneau,2023,12,4621
145,Arizona,Phoenix,2021,1,4144
146,Arizona,Phoenix,2021,2,6929
147,Arizona,Phoenix,2021,3,1261
148,Arizona,Phoenix,2021,4,2398
149,Arizona,Phoenix,2021,5,6138
150,Arizona,Phoenix,2021,6,2277
151,Arizona,Phoenix,2021,7,2232
152,Arizona,Phoenix,2021,8,7035
153,Arizona,Phoenix,2021,9,6928
154,Arizona,Phoenix,2021,10,5789
155,Arizona,Phoenix,2021,11,9802
156,Arizona,Phoenix,2021,12,4321
157,Arizona,Phoenix,2022,1,6751
158,Arizona,Phoenix,2022,2,5558
159,Arizona,Phoenix,2022,3,5638
160,Arizona,Phoenix,2022,4,8542
161,Arizona,Phoenix,2022,5,1084
162,Arizona,Phoenix,2022,6,3921
163,Arizona,Phoenix,2022,7,8431
164,Arizona,Phoenix,2022,8,7003
165,Arizona,Phoenix,2022,9,9343
166,Arizona,Phoenix,2022,10,9217
167,Arizona,Phoenix,2022,11,3135
168,Arizona,Phoenix,2022,12,9868
169,Arizona,Phoenix,2023,1,3490
170,Arizona,Phoenix,2023,2,7825
171,Arizona,Phoenix,2023,3,3443
172,Arizona,Phoenix,2023,4,5229
173,Arizona,Phoenix,2023,5,3240
174,Arizona,Phoenix,2023,6,9320
175,Arizona,Phoenix,2023,7,7770
176,Arizona,Phoenix,2023,8,9049
177,Arizona,Phoenix,2023,9,1124
178,Arizona,Phoenix,2023,10,9296
179,Arizona,Phoenix,2023,11,9324
180,Arizona,Phoenix,2023,12,7965
181,Arizona,Tucson,2021,1,1305
182,Arizona,Tucson,2021,2,4320
183,Arizona,Tucson,2021,3,4438
184,Arizona,Tucson,2021,4,4523
185,Arizona,Tucson,2021,5,5584
186,Arizona,Tucson,2021,6,4456
187,Arizona,Tucson,2021,7,4470
188,Arizona,Tucson,2021,8,8980
189,Arizona,Tucson,2021,9,8977
190,Arizona,Tucson,2021,10,8781
191,Arizona,Tucson,2021,11,3280
192,Arizona,Tucson,2021,12,8643
193,Arizona,Tucson,2022,1,1127
194,Arizona,Tucson,2022,2,9845
195,Arizona,Tucson,2022,3,8463
196,Arizona,Tucson,2022,4,2756
197,Arizona,Tucson,2022,5,7561
198,Arizona,Tucson,2022,6,6063
199,Arizona,Tucson,2022,7,2921
200,Arizona,Tucson,2022,8,3577
201,Arizona,Tucson,2022,9,6603
202,Arizona,Tucson,2022,10,8654
203,Arizona,Tucson,2022,11,2589
204,Arizona,Tucson,2022,12,8918
205,Arizona,Tucson,2023,1,6393
206,Arizona,Tucson,2023,2,5195
207,Arizona,Tucson,2023,3,5370
208,Arizona,Tucson,2023,4,7349
209,Arizona,Tucson,2023,5,9168
210,Arizona,Tucson,2023,6,9511
211,Arizona,Tucson,2023,7,9194
212,Arizona,Tucson,2023,8,4514
213,Arizona,Tucson,2023,9,3609
214,Arizona,Tucson,2023,10,4197
215,Arizona,Tucson,2023,11,3486
216,Arizona,Tucson,2023,12,6981
217,Arkansas,Little Rock,2021,1,7782
218,Arkansas,Little Rock,2021,2,8855
219,Arkansas,Little Rock,2021,3,9806
220,Arkansas,Little Rock,2021,4,6134
221,Arkansas,Little Rock,2021,5,6125
222,Arkansas,Little Rock,2021,6,9496
223,Arkansas,Little Rock,2021,7,7006
224,Arkansas,Little Rock,2021,8,2883
225,Arkansas,Little Rock,2021,9,3316
226,Arkansas,Little Rock,2021,10,2743
227,Arkansas,Little Rock,2021,11,3700
228,Arkansas,Little Rock,2021,12,3916
229,Arkansas,Little Rock,2022,1,3852
230,Arkansas,Little Rock,2022,2,1412
231,Arkansas,Little Rock,2022,3,5533
232,Arkansas,Little Rock,2022,4,3287
233,Arkansas,Little Rock,2022,5,3811
234,Arkansas,Little Rock,2022,6,7257
235,Arkansas,Little Rock,2022,7,5730
236,Arkansas,Little Rock,2022,8,6738
237,Arkansas,Little Rock,2022,9,7444
238,Arkansas,Little Rock,2022,10,4200
239,Arkansas,Little Rock,2022,11,3448
240,Arkansas,Little Rock,2022,12,2570
241,Arkansas,Little Rock,2023,1,7987
242,Arkansas,Little Rock,2023,2,7601
243,Arkansas,Little Rock,2023,3,5167
244,Arkansas,Little Rock,2023,4,5792
245,Arkansas,Little Rock,2023,5,1519
246,Arkansas,Little Rock,2023,6,7255
247,Arkansas,Little Rock,2023,7,2263
248,Arkansas,Little Rock,2023,8,3059
249,Arkansas,Little Rock,2023,9,4211
250,Arkansas,Little Rock,2023,10,7774
251,Arkansas,Little Rock,2023,11,6955
252,Arkansas,Little Rock,2023,12,3074
253,Arkansas,Fort Smith,2021,1,6846
254,Arkansas,Fort Smith,2021,2,9239
255,Arkansas,Fort Smith,2021,3,1096
256,Arkansas,Fort Smith,2021,4,9265
257,Arkansas,Fort Smith,2021,5,2729
258,Arkansas,Fort Smith,2021,6,1881
259,Arkansas,Fort Smith,2021,7,1828
260,Arkansas,Fort Smith,2021,8,9335
261,Arkansas,Fort Smith,2021,9,7808
262,Arkansas,Fort Smith,2021,10,9875
263,Arkansas,Fort Smith,2021,11,9091
264,Arkansas,Fort Smith,2021,12,3240
265,Arkansas,Fort Smith,2022,1,7900
266,Arkansas,Fort Smith,2022,2,4971
267,Arkansas,Fort Smith,2022,3,2763
268,Arkansas,Fort Smith,2022,4,8901
269,Arkansas,Fort Smith,2022,5,7204
270,Arkansas,Fort Smith,2022,6,6674
271,Arkansas,Fort Smith,2022,7,7636
272,Arkansas,Fort Smith,2022,8,4440
273,Arkansas,Fort Smith,2022,9,3085
274,Arkansas,Fort Smith,2022,10,1350
275,Arkansas,Fort Smith,2022,11,3022
276,Arkansas,Fort Smith,2022,12,9480
277,Arkansas,Fort Smith,2023,1,6200
278,Arkansas,Fort Smith,2023,2,7993
279,Arkansas,Fort Smith,2023,3,1057
280,Arkansas,Fort Smith,2023,4,5309
281,Arkansas,Fort Smith,2023,5,4333
282,Arkansas,Fort Smith,2023,6,3940
283,Arkansas,Fort Smith,2023,7,6918
284,Arkansas,Fort Smith,2023,8,1534
285,Arkansas,Fort Smith,2023,9,8210
286,Arkansas,Fort Smith,2023,10,1189
287,Arkansas,Fort Smith,2023,11,3031
288,Arkansas,Fort Smith,2023,12,4770
289,California,Los Angeles,2021,1,1597
290,California,Los Angeles,2021,2,2746
291,California,Los Angeles,2021,3,3606
292,California,Los Angeles,2021,4,8659
293,California,Los Angeles,2021,5,5008
294,California,Los Angeles,2021,6,9866
295,California,Los Angeles,2021,7,5908
296,California,Los Angeles,2021,8,3710
297,California,Los Angeles,2021,9,4300
298,California,Los Angeles,2021,10,6588
299,California,Los Angeles,2021,11,5146
300,California,Los Angeles,2021,12,8475
301,California,Los Angeles,2022,1,2844
302,California,Los Angeles,2022,2,8530
303,California,Los Angeles,2022,3,7345
304,California,Los Angeles,2022,4,6322
305,California,Los Angeles,2022,5,6844
306,California,Los Angeles,2022,6,4728
307,California,Los Angeles,2022,7,1328
308,California,Los Angeles,2022,8,3488
309,California,Los Angeles,2022,9,8601
310,California,Los Angeles,2022,10,3120
311,California,Los Angeles,2022,11,5784
312,California,Los Angeles,2022,12,9178
313,California,Los Angeles,2023,1,5395
314,California,Los Angeles,2023,2,6976
315,California,Los Angeles,2023,3,2985
316,California,Los Angeles,2023,4,3701
317,California,Los Angeles,2023,5,5890
318,California,Los Angeles,2023,6,4794
319,California,Los Angeles,2023,7,9545
320,California,Los Angeles,2023,8,4429
321,California,Los Angeles,2023,9,1695
322,California,Los Angeles,2023,10,8225
323,California,Los Angeles,2023,11,4157
324,California,Los Angeles,2023,12,3539
325,California,Sacramento,2021,1,5252
326,California,Sacramento,2021,2,8474
327,California,Sacramento,2021,3,9813
328,California,Sacramento,2021,4,8098
329,California,Sacramento,2021,5,9556
330,California,Sacramento,2021,6,9264
331,California,Sacramento,2021,7,7747
332,California,Sacramento,2021,8,8737
333,California,Sacramento,2021,9,8097
334,California,Sacramento,2021,10,7667
335,California,Sacramento,2021,11,1579
336,California,Sacramento,2021,12,9312
337,California,Sacramento,2022,1,9596
338,California,Sacramento,2022,2,5142
339,California,Sacramento,2022,3,9901
340,California,Sacramento,2022,4,1952
341,California,Sacramento,2022,5,3360
342,California,Sacramento,2022,6,2872
343,California,Sacramento,2022,7,7403
344,California,Sacramento,2022,8,8917
345,California,Sacramento,2022,9,6263
346,California,Sacramento,2022,10,8593
347,California,Sacramento,2022,11,7450
348,California,Sacramento,2022,12,2909
349,California,Sacramento,2023,1,1889
350,California,Sacramento,2023,2,8487
351,California,Sacramento,2023,3,6410
352,California,Sacramento,2023,4,9043
353,California,Sacramento,2023,5,9757
354,California,Sacramento,2023,6,7261
355,California,Sacramento,2023,7,9779
356,California,Sacramento,2023,8,2076
357,California,Sacramento,2023,9,4550
358,California,Sacramento,2023,10,3151
359,California,Sacramento,2023,11,7522
360,California,Sacramento,2023,12,4466
361,Colorado,Denver,2021,1,6329
362,Colorado,Denver,2021,2,6468
363,Colorado,Denver,2021,3,2567
364,Colorado,Denver,2021,4,4141
365,Colorado,Denver,2021,5,7500
366,Colorado,Denver,2021,6,6360
367,Colorado,Denver,2021,7,4275
368,Colorado,Denver,2021,8,3408
369,Colorado,Denver,2021,9,2887
370,Colorado,Denver,2021,10,3054
371,Colorado,Denver,2021,11,6233
372,Colorado,Denver,2021,12,7018
373,Colorado,Denver,2022,1,1019
374,Colorado,Denver,2022,2,8363
375,Colorado,Denver,2022,3,3118
376,Colorado,Denver,2022,4,6001
377,Colorado,Denver,2022,5,9212
378,Colorado,Denver,2022,6,5113
379,Colorado,Denver,2022,7,6551
380,Colorado,Denver,2022,8,3584
381,Colorado,Denver,2022,9,5156
382,Colorado,Denver,2022,10,2604
383,Colorado,Denver,2022,11,6308
384,Colorado,Denver,2022,12,7710
385,Colorado,Denver,2023,1,7248
386,Colorado,Denver,2023,2,8927
387,Colorado,Denver,2023,3,7728
388,Colorado,Denver,2023,4,7827
389,Colorado,Denver,2023,5,6514
390,Colorado,Denver,2023,6,9019
391,Colorado,Denver,2023,7,5952
392,Colorado,Denver,2023,8,9677
393,Colorado,Denver,2023,9,2855
394,Colorado,Denver,2023,10,8398
395,Colorado,Denver,2023,11,7862
396,Colorado,Denver,2023,12,1628
397,Colorado,Colorado Springs,2021,1,1271
398,Colorado,Colorado Springs,2021,2,7863
399,Colorado,Colorado Springs,2021,3,2501
400,Colorado,Colorado Springs,2021,4,2496
401,Colorado,Colorado Springs,2021,5,8228
402,Colorado,Colorado Springs,2021,6,3993
403,Colorado,Colorado Springs,2021,7,9608
404,Colorado,Colorado Springs,2021,8,5660
405,Colorado,Colorado Springs,2021,9,5814
406,Colorado,Colorado Springs,2021,10,5390
407,Colorado,Colorado Springs,2021,11,4180
408,Colorado,Colorado Springs,2021,12,6235
409,Colorado,Colorado Springs,2022,1,2687
410,Colorado,Colorado Springs,2022,2,7700
411,Colorado,Colorado Springs,2022,3,5126
412,Colorado,Colorado Springs,2022,4,4096
413,Colorado,Colorado Springs,2022,5,4402
414,Colorado,Colorado Springs,2022,6,8131
415,Colorado,Colorado Springs,2022,7,8262
416,Colorado,Colorado Springs,2022,8,8633
417,Colorado,Colorado Springs,2022,9,6155
418,Colorado,Colorado Springs,2022,10,2396
419,Colorado,Colorado Springs,2022,11,5855
420,Colorado,Colorado Springs,2022,12,4862
421,Colorado,Colorado Springs,2023,1,7236
422,Colorado,Colorado Springs,2023,2,4520
423,Colorado,Colorado Springs,2023,3,5718
424,Colorado,Colorado Springs,2023,4,6234
425,Colorado,Colorado Springs,2023,5,2797
426,Colorado,Colorado Springs,2023,6,6374
427,Colorado,Colorado Springs,2023,7,6546
428,Colorado,Colorado Springs,2023,8,6311
429,Colorado,Colorado Springs,2023,9,2627
430,Colorado,Colorado Springs,2023,10,3466
431,Colorado,Colorado Springs,2023,11,3600
432,Colorado,Colorado Springs,2023,12,2875
433,Connecticut,Bridgeport,2021,1,8864
434,Connecticut,Bridgeport,2021,2,6743
435,Connecticut,Bridgeport,2021,3,6871
436,Connecticut,Bridgeport,2021,4,3858
437,Connecticut,Bridgeport,2021,5,1125
438,Connecticut,Bridgeport,2021,6,2652
439,Connecticut,Bridgeport,2021,7,4797
440,Connecticut,Bridgeport,2021,8,8463
441,Connecticut,Bridgeport,2021,9,6892
442,Connecticut,Bridgeport,2021,10,3044
443,Connecticut,Bridgeport,2021,11,8956
444,Connecticut,Bridgeport,2021,12,6624
445,Connecticut,Bridgeport,2022,1,9653
446,Connecticut,Bridgeport,2022,2,3856
447,Connecticut,Bridgeport,2022,3,9842
448,Connecticut,Bridgeport,2022,4,3722
449,Connecticut,Bridgeport,2022,5,1119
450,Connecticut,Bridgeport,2022,6,2891
451,Connecticut,Bridgeport,2022,7,7919
452,Connecticut,Bridgeport,2022,8,2478
453,Connecticut,Bridgeport,2022,9,4108
454,Connecticut,Bridgeport,2022,10,7468
455,Connecticut,Bridgeport,2022,11,9680
456,Connecticut,Bridgeport,2022,12,9568
457,Connecticut,Bridgeport,2023,1,2544
458,Connecticut,Bridgeport,2023,2,7851
459,Connecticut,Bridgeport,2023,3,6016
460,Connecticut,Bridgeport,2023,4,4172
461,Connecticut,Bridgeport,2023,5,4050
462,Connecticut,Bridgeport,2023,6,6377
463,Connecticut,Bridgeport,2023,7,7280
464,Connecticut,Bridgeport,2023,8,1311
465,Connecticut,Bridgeport,2023,9,8126
466,Connecticut,Bridgeport,2023,10,2120
467,Connecticut,Bridgeport,2023,11,6655
468,Connecticut,Bridgeport,2023,12,8979
469,Connecticut,Hartford,2021,1,5623
470,Connecticut,Hartford,2021,2,7589
471,Connecticut,Hartford,2021,3,8453
472,Connecticut,Hartford,2021,4,4136
473,Connecticut,Hartford,2021,5,8419
474,Connecticut,Hartford,2021,6,8349
475,Connecticut,Hartford,2021,7,9780
476,Connecticut,Hartford,2021,8,2046
477,Connecticut,Hartford,2021,9,9234
478,Connecticut,Hartford,2021,10,9838
479,Connecticut,Hartford,2021,11,3675
480,Connecticut,Hartford,2021,12,8076
481,Connecticut,Hartford,2022,1,5755
482,Connecticut,Hartford,2022,2,4308
483,Connecticut,Hartford,2022,3,8670
484,Connecticut,Hartford,2022,4,6669
485,Connecticut,Hartford,2022,5,3658
486,Connecticut,Hartford,2022,6,5374
487,Connecticut,Hartford,2022,7,2897
488,Connecticut,Hartford,2022,8,8956
489,Connecticut,Hartford,2022,9,8855
490,Connecticut,Hartford,2022,10,4143
491,Connecticut,Hartford,2022,11,2047
492,Connecticut,Hartford,2022,12,4337
493,Connecticut,Hartford,2023,1,4565
494,Connecticut,Hartford,2023,2,9938
495,Connecticut,Hartford,2023,3,6611
496,Connecticut,Hartford,2023,4,1396
497,Connecticut,Hartford,2023,5,6513
498,Connecticut,Hartford,2023,6,7589
499,Connecticut,Hartford,2023,7,9607
500,Connecticut,Hartford,2023,8,9347
501,Connecticut,Hartford,2023,9,8888
502,Connecticut,Hartford,2023,10,9923
503,Connecticut,Hartford,2023,11,2788
504,Connecticut,Hartford,2023,12,9852
505,Delaware,Wilmington,2021,1,1748
506,Delaware,Wilmington,2021,2,1329
507,Delaware,Wilmington,2021,3,8463
508,Delaware,Wilmington,2021,4,7391
509,Delaware,Wilmington,2021,5,1835
510,Delaware,Wilmington,2021,6,9737
511,Delaware,Wilmington,2021,7,6483
512,Delaware,Wilmington,2021,8,7932
513,Delaware,Wilmington,2021,9,1061
514,Delaware,Wilmington,2021,10,2314
515,Delaware,Wilmington,2021,11,1048
516,Delaware,Wilmington,2021,12,1448
517,Delaware,Wilmington,2022,1,8621
518,Delaware,Wilmington,2022,2,7666
519,Delaware,Wilmington,2022,3,7343
520,Delaware,Wilmington,2022,4,2555
521,Delaware,Wilmington,2022,5,2600
522,Delaware,Wilmington,2022,6,1181
523,Delaware,Wilmington,2022,7,4693
524,Delaware,Wilmington,2022,8,3820
525,Delaware,Wilmington,2022,9,1369
526,Delaware,Wilmington,2022,10,5078
527,Delaware,Wilmington,2022,11,9310
528,Delaware,Wilmington,2022,12,9932
529,Delaware,Wilmington,2023,1,9966
530,Delaware,Wilmington,2023,2,6375
531,Delaware,Wilmington,2023,3,9888
532,Delaware,Wilmington,2023,4,9328
533,Delaware,Wilmington,2023,5,5295
534,Delaware,Wilmington,2023,6,4447
535,Delaware,Wilmington,2023,7,7482
536,Delaware,Wilmington,2023,8,9928
537,Delaware,Wilmington,2023,9,3528
538,Delaware,Wilmington,2023,10,5078
539,Delaware,Wilmington,2023,11,6419
540,Delaware,Wilmington,2023,12,6411
541,Delaware,Dover,2021,1,2084
542,Delaware,Dover,2021,2,6282
543,Delaware,Dover,2021,3,1713
544,Delaware,Dover,2021,4,8134
545,Delaware,Dover,2021,5,1734
546,Delaware,Dover,2021,6,1811
547,Delaware,Dover,2021,7,6182
548,Delaware,Dover,2021,8,6842
549,Delaware,Dover,2021,9,7212
550,Delaware,Dover,2021,10,5507
551,Delaware,Dover,2021,11,8330
552,Delaware,Dover,2021,12,6627
553,Delaware,Dover,2022,1,8061
554,Delaware,Dover,2022,2,3925
555,Delaware,Dover,2022,3,9309
556,Delaware,Dover,2022,4,9017
557,Delaware,Dover,2022,5,6327
558,Delaware,Dover,2022,6,3627
559,Delaware,Dover,2022,7,7929
560,Delaware,Dover,2022,8,1061
561,Delaware,Dover,2022,9,7488
562,Delaware,Dover,2022,10,9375
563,Delaware,Dover,2022,11,6485
564,Delaware,Dover,2022,12,8806
565,Delaware,Dover,2023,1,6613
566,Delaware,Dover,2023,2,5092
567,Delaware,Dover,2023,3,3537
568,Delaware,Dover,2023,4,4403
569,Delaware,Dover,2023,5,3289
570,Delaware,Dover,2023,6,5304
571,Delaware,Dover,2023,7,8558
572,Delaware,Dover,2023,8,2454
573,Delaware,Dover,2023,9,6790
574,Delaware,Dover,2023,10,4923
575,Delaware,Dover,2023,11,1116
576,Delaware,Dover,2023,12,3291
577,Florida,Jacksonville,2021,1,1917
578,Florida,Jacksonville,2021,2,9956
579,Florida,Jacksonville,2021,3,9744
580,Florida,Jacksonville,2021,4,6211
581,Florida,Jacksonville,2021,5,2025
582,Florida,Jacksonville,2021,6,9880
583,Florida,Jacksonville,2021,7,6833
584,Florida,Jacksonville,2021,8,7924
585,Florida,Jacksonville,2021,9,3913
586,Florida,Jacksonville,2021,10,4445
587,Florida,Jacksonville,2021,11,3373
588,Florida,Jacksonville,2021,12,9361
589,Florida,Jacksonville,2022,1,1361
590,Florida,Jacksonville,2022,2,4369
591,Florida,Jacksonville,2022,3,1100
592,Florida,Jacksonville,2022,4,7200
593,Florida,Jacksonville,2022,5,5506
594,Florida,Jacksonville,2022,6,5489
595,Florida,Jacksonville,2022,7,1296
596,Florida,Jacksonville,2022,8,1784
597,Florida,Jacksonville,2022,9,3265
598,Florida,Jacksonville,2022,10,7892
599,Florida,Jacksonville,2022,11,4786
600,Florida,Jacksonville,2022,12,4376
601,Florida,Jacksonville,2023,1,2235
602,Florida,Jacksonville,2023,2,3975
603,Florida,Jacksonville,2023,3,4624
604,Florida,Jacksonville,2023,4,3267
605,Florida,Jacksonville,2023,5,9702
606,Florida,Jacksonville,2023,6,5781
607,Florida,Jacksonville,2023,7,7419
608,Florida,Jacksonville,2023,8,3670
609,Florida,Jacksonville,2023,9,2855
610,Florida,Jacksonville,2023,10,4178
611,Florida,Jacksonville,2023,11,5837
612,Florida,Jacksonville,2023,12,7092
613,Florida,Tallahassee,2021,1,2194
614,Florida,Tallahassee,2021,2,5066
615,Florida,Tallahassee,2021,3,1956
616,Florida,Tallahassee,2021,4,4759
617,Florida,Tallahassee,2021,5,3994
618,Florida,Tallahassee,2021,6,6065
619,Florida,Tallahassee,2021,7,5230
620,Florida,Tallahassee,2021,8,2583
621,Florida,Tallahassee,2021,9,1695
622,Florida,Tallahassee,2021,10,9941
623,Florida,Tallahassee,2021,11,6578
624,Florida,Tallahassee,2021,12,5978
625,Florida,Tallahassee,2022,1,2902
626,Florida,Tallahassee,2022,2,6000
627,Florida,Tallahassee,2022,3,1254
628,Florida,Tallahassee,2022,4,7492
629,Florida,Tallahassee,2022,5,9416
630,Florida,Tallahassee,2022,6,5861
631,Florida,Tallahassee,2022,7,9656
632,Florida,Tallahassee,2022,8,5223
633,Florida,Tallahassee,2022,9,5357
634,Florida,Tallahassee,2022,10,8359
635,Florida,Tallahassee,2022,11,2840
636,Florida,Tallahassee,2022,12,5575
637,Florida,Tallahassee,2023,1,7282
638,Florida,Tallahassee,2023,2,6919
639,Florida,Tallahassee,2023,3,8763
640,Florida,Tallahassee,2023,4,5456
641,Florida,Tallahassee,2023,5,4663
642,Florida,Tallahassee,2023,6,3018
643,Florida,Tallahassee,2023,7,3589
644,Florida,Tallahassee,2023,8,9540
645,Florida,Tallahassee,2023,9,8847
646,Florida,Tallahassee,2023,10,8084
647,Florida,Tallahassee,2023,11,7587
648,Florida,Tallahassee,2023,12,2607
649,Georgia,Atlanta,2021,1,5691
650,Georgia,Atlanta,2021,2,5106
651,Georgia,Atlanta,2021,3,4820
652,Georgia,Atlanta,2021,4,1153
653,Georgia,Atlanta,2021,5,6622
654,Georgia,Atlanta,2021,6,8377
655,Georgia,Atlanta,2021,7,6792
656,Georgia,Atlanta,2021,8,8416
657,Georgia,Atlanta,2021,9,3569
658,Georgia,Atlanta,2021,10,9122
659,Georgia,Atlanta,2021,11,4678
660,Georgia,Atlanta,2021,12,3252
661,Georgia,Atlanta,2022,1,5691
662,Georgia,Atlanta,2022,2,6806
663,Georgia,Atlanta,2022,3,8671
664,Georgia,Atlanta,2022,4,4134
665,Georgia,Atlanta,2022,5,3491
666,Georgia,Atlanta,2022,6,4563
667,Georgia,Atlanta,2022,7,6139
668,Georgia,Atlanta,2022,8,5165
669,Georgia,Atlanta,2022,9,6962
670,Georgia,Atlanta,2022,10,6190
